utterance_id,act,scene,speaker,utterance,x,y,cluster
41,1,1,DOL.,"Nay Generall , I thought you were ciuill .",8.251427,5.510983,-1
42,1,1,FAC.,"I shall turne desperate , if you grow thus loud .",8.119924,6.1742506,-1
43,1,1,SVB.,"And hang thy selfe , I care not .",7.772163,4.6456127,-1
44,1,1,FAC.,"Hang thee , Colliar , And all thy pots , and pans , in picture I will , Since thou hast mou'd me .",11.367273,5.004308,-1
45,1,1,DOL.,"Ã´ , this 'll ore-throw all .",11.109332,3.5722532,-1
46,1,1,FAC.,"Write thee vp Baud , in Paules ; haue all thy trickes Of cosning with a hollow cole , dust , scrapings , Searching for things lost , with a siue , and sheeres , Erecting figures , in your rowes of Houses , And taking in of shadowes , with a glasse , Told in red letters : And a face , cut for thee , Worse then Gamaliel Ratsey's ,",10.584016,4.762082,-1
47,1,1,DOL.,"Are you sound ? Ha' you your senses , Masters ?",8.135922,6.1322203,-1
48,1,1,FAC.,"I will haue A Booke , but barely reckoning thy Impostures , Shall proue a true Philophers stone , to Printers .",10.663443,4.007495,-1
49,1,1,SVB.,Away you Trencher-Raskall .,8.673098,2.3586323,-1
50,1,1,FAC.,"Out you Dog-leach , The vomit of all prisons â€”",9.420999,4.525871,-1
51,1,1,DOL.,"Will you be Your owne destructions , Gentlemen ?",8.27269,5.6825233,-1
52,1,1,FAC.,Still spew'd out For lying too heauy o' the basket .,9.137085,4.870032,-1
53,1,1,SVB.,Cheater .,8.448484,3.241618,-1
54,1,1,FAC.,Bawd .,6.0108533,5.2834854,-1
55,1,1,SVB.,Cowherd .,6.897686,4.5990686,-1
56,1,1,FAC.,Coniurer .,7.5761294,4.2262464,-1
57,1,1,SVB.,Cutpurse .,7.675989,4.2222857,-1
58,1,1,FAC.,Witch .,6.0242143,5.112888,-1
59,1,1,DOL.,"O me . We are ruin'd lost . Ha' you no more regard To your reputations ? Where 's your iudgement ? Slight , Haue yet , some care of me , o' your Republique .",8.399967,5.4906025,-1
60,1,1,FAC.,"Away this Brach. I 'll bring thee , Rogue , within The Statute of Sorcerie , tricesimo tertio Of Harry the eight : I and ( perhaps ) thy neck Within a noose , for laundring gold , and barbing .",10.494606,4.4995112,-1
61,1,1,DOL.,"You 'll bring your head within a cocks-combe , will you ? And you Sr , with your Menstrue , gather it vp . S'death you abhominable payre of Stinkards Leaue off your barking , and grow one againe , Or , by the light that shines , I 'll cut your throates . I 'll not be made a prey vnto the Marshall , For nere a snarling Dog-bolt o' you both . Ha' you together cossen'd all this while , And all the world , and shall it now be said Yo 'haue made most courteous shift , to cossen your selues ? You will accuse him ? You will bring him in Within the Statute ? Who shall take your word , A whoresonne , vpstart , Apocryphall Captayne , Whom not a Puritane , in Black-Friers , will trust So much , as for a fether ? And you , too , Will giue the cause , forsooth ? You will insult , And clayme a primacie , in the diuisions ? You must be chiefe ? as if you , onely , had The poulder to proiect with ? and the worke Were not begunne out of aequalitie ? The venter tripartite ? All things in common ? Without prioritie ? S'death , you perpetuall Curres , Fall to your couples , againe , and cossen kindly , And heartily , and louingly , as you should , And loose not the beginning of a Terme , Or , by this hand , I shall grow factious too And , take my part , and quit you .",11.286904,4.936755,-1
62,1,1,FAC.,"T is his fault , He euer murmures , and obiects his paines , And sayes , the weight of all lies vpon him .",10.885559,5.2147446,-1
63,1,1,SVB.,Why so it do's .,5.5387115,5.029317,-1
64,1,1,DAL.,How does it ? Doe not we Sustaine our parts ?,10.761074,2.5396767,-1
65,1,1,SVB.,"Yes , but they are not aequall .",5.557974,4.548235,-1
66,1,1,DOL.,"Why , if your part exceede to day , I hope Ours may , to morrow , match it .",8.253901,6.651215,-1
67,1,1,SVB.,"I , they may .",5.9328194,5.414203,-1
68,1,1,DOL.,"May , murmuring Mastiffe , I , and do . Gods will ! Helpe me to thrattell him .",9.77139,5.2068467,-1
69,1,1,SVB.,"Dorothee , Mistresse Dorothee , O'ds precious , I 'll doe any thing . What doe you meane ?",10.380613,5.0435247,-1
70,1,1,DOL.,"Because o' your Fermentation , and Cibation ?",10.307902,3.6219776,-1
71,1,1,SVB.,"Not I , by heauen .",8.532398,4.7855268,-1
72,1,1,DOL.,Your Sol & Luna : help me .,11.379542,4.158691,-1
73,1,1,SVB.,Would I were hang'd then . I 'll conforme my selfe .,7.7251043,4.8937483,-1
74,1,1,DOL.,"Will you Sr. doe so then , and quickly . Sweare .",7.1507397,6.4099107,-1
75,1,1,SVB.,What should I sweare ?,7.345913,6.4003334,-1
76,1,1,DOL.,"To leaue your faction Sr. And labour , kindly , in the commune worke .",10.108006,4.609579,-1
77,1,1,SVB.,"Let me not breath , if I meant ought , beside . I onely vs'd those speeches , as a spurre To him .",10.351779,5.7602396,-1
78,1,1,DOL.,I hope we need no spurres Sr. Doewe ?,8.0042515,6.5874887,-1
79,1,1,FAC.,"Slid , proue to day , who shall sharke best .",8.181651,6.897771,-1
80,1,1,SVB.,Agreed .,5.7665567,5.2673626,-1
81,1,1,DOL.,"Yes , and worke close , and friendly",4.6706123,5.691817,-1
82,1,1,SVB.,"Slight the knot Shall grow the stronger , for this breach , with me .",8.239717,3.5198536,-1
83,1,1,DOL.,"Why so , my good Babounes ! Shall we goe make A sort of sober , scuruy , praecise Neighbours , ( That scarse haue smil'd twise , sin'the King came in ) A feast of laughter , at our follies ? Raskalls , Would runne themselues from breath , to see me ride , Or you t' haue but a Hole , to thrust your heads in , For which you should pay Eare-rent : No , Agree . And may Don Prouost ride a feasting , long , In his old veluet ierken , and staynd scarfes , ( My noble Soueraigne , and worthy Generall ) Ere we contribute a new cruell garter To his most worsted worship .",11.065445,4.555535,-1
84,1,1,SVB.,"Royall Dol ! Spoken like Claridiana , and thy selfe .",10.72159,4.973577,-1
85,1,1,FAC.,"For which at supper , thou shalt sit in triumph , And not be stil'd ` Doâ— common , but Doe proper , Dol singular : the longest cut , at night . Shall draw thee for his Dol particular .",11.167829,4.76765,-1
86,1,1,SVB.,Who 's that ? one rings . To the windo ',7.5482683,3.161587,-1
87,1,1,Dol.,"Pray heau'n , The Master doe not troublevs , this quarter .",8.704861,4.7971916,-1
88,1,1,FAC.,"O , feare not him . While there dies one , a weeke , O' the plague , hee 's safe , from thinking , toward London . Beside , hee 's busie at his hop-yardes , now , I had a letter from him . If he doe , Hee 'll send such word , for ayring o' the house As you shall haue sufficient time , to quit it . Though we breake vp a fortnight , 't is no matter .",9.647415,4.949782,-1
89,1,1,SVB.,"Who is it , Dol ?",7.6808987,2.8918355,-1
90,1,1,DOL.,A fine yong Quodling .,7.7216887,3.9756439,-1
91,1,1,FAC.,"O My Lawyers Clearke , I lighted on , last night , In Hol'bourne , at the Dagger . He would haue ( I told you of him ) a Familiar , To rifle withâ— at horses , and winne cuppes .",10.052435,4.688956,-1
92,1,1,DOL.,"O , let him in .",8.273835,4.746247,-1
93,1,1,SVB.,Stay . Who shall doo 't ?,8.292247,4.511523,-1
94,1,1,FAC.,"Get you Your robes on . I will meete him , as going out .",7.525564,6.593932,-1
95,1,1,DOL.,And what shall I do ?,7.125524,6.489601,-1
96,1,1,FAC.,"Not be seene , away . Seeme you very reseru'd .",7.043402,5.589611,-1
97,1,1,SVB.,Inough .,7.3236704,4.17526,-1
98,1,1,FAC.,"God be w 'you , Sr. I pray you , let him know that I was here . His name is Dapper . I would gladly haue stayd , But â€”",7.0460453,6.997523,-1
99,1,2,FAC.,"Who 's that ? Hee 's come , I think , Doctor . Good faith , Sr , I was going away .",9.453302,6.1836777,-1
100,1,2,DAP.,"In truth , I am very sory , Captayne .",9.222727,6.736274,-1
101,1,2,FAC.,"But I thought Sure , I should meet you .",7.3047395,6.353891,-1
102,1,2,DAP.,"I am very glad . I 'had a sciruy ã€ˆâ—Šã€‰ , or two , to make , And I had lent my watch last night , to one That dinesâ— to day , at the Shrieffs : and so was robd Of my passe-time Is this the Cunning-man ?",11.2184105,5.300397,-1
103,1,2,FAC.,This is his worship .,10.107136,6.194228,-1
104,1,2,DAP.,Is he a Doctor ?,9.102246,5.759379,-1
105,1,2,FAC.,Yes .,4.2317324,5.3631616,-1
106,1,2,DAP.,"And ha' you broke with him , Captaine ?",8.794013,6.396311,-1
107,1,2,FAC.,I.,5.889188,5.0632534,-1
108,1,2,DAP.,And how,4.2880764,4.150619,-1
109,1,2,FAC.,"Faith , he doe's make the matter , Sr. so dainty , I know not what to say .",12.240766,6.409358,-1
110,1,2,DAP.,"Not so , good Captaine .",8.771234,6.4747696,-1
111,1,2,FAC.,"Would I were fayrely rid on 't , beleeue me .",7.8382363,4.900092,-1
112,1,2,DAP.,"Nay , now you grieue me Sr. Why should you wish so ? I dare assure you , I 'll not be vngratefull .",7.655331,5.855093,-1
113,1,2,FAC.,"I cannot thinke you will , Sr. But the Lawe Is such a thing â€” And then he sayes , Reade's matter Falling so lately .",10.551289,5.8577585,-1
114,1,2,DAP.,"Reade ? He was an Asse , And dealt Sr with a Foole.",9.914107,4.3709626,-1
115,1,2,FAC.,"It was a Clearke , Sr.",7.0837173,4.0189395,-1
116,1,2,DAP.,A Clearke ?,7.117701,4.0433445,-1
117,1,2,FAC.,"Nay , heare me , Sr. you know the Law Better , I thinke",10.758343,6.003639,-1
118,1,2,DAP.,I should Sr. and the danger . You know I shew'd the Statute to you ?,10.705341,6.004353,-1
119,1,2,FAC.,You did so .,5.8250475,5.057535,-1
120,1,2,DAP.,"And will I tell , then ? By this ã€ˆâ—Šã€‰ of flesh , Would it might neuer wright good ã€ˆâ—Šã€‰ hand , more , If I discouer . What doe you thinke of me , That I am a Chiause ?",10.961382,8.239809,-1
121,1,2,FAC.,What 's that ?,6.0742254,4.2531033,-1
122,1,2,DAP.,"The Turke was , here . As one would say , Doe you thinke I am a Turke ?",10.026416,4.348655,-1
123,1,2,FAC.,I 'll tell the Doctor so .,9.040055,5.8317304,-1
124,1,2,DAP.,"Doe , good sweet Captaine .",8.791481,6.5155044,-1
125,1,2,FAC.,"Come , noble Doctor , ' pray thee , let 's preuaile , This is the Gentleman , and he is no Chiause .",9.792821,5.7505393,-1
126,1,2,SVB.,"Captaine , I haue return'd you all my answere . I would doe much Sr. for your loue â€” But this I neither may , nor can .",9.25763,5.6863165,-1
127,1,2,FAC.,"Tut , doe not say so . You deale , now , with a noble fellow , Doctor , One that will thanke you , richly , and h 'is no Chiause : Let that Sr. moue you .",9.833834,5.8185635,-1
128,1,2,SVB.,"Pray you , forbeare .",6.925992,6.9820724,-1
129,1,2,FAC.,"He has Foure Angels , here .",9.557335,4.4591284,-1
130,1,2,SVB.,You doe me wrong good Sr.,6.0832624,6.6128893,-1
131,1,2,FAC.,"Doctor , wherein ? To tempt you with these spirits ?",9.294418,5.893218,-1
132,1,2,SVB.,"To tempt my art , and loue , Sir , to my perill . Fore heau'n , I scarse can thinke you are my friend , That so would draw me to apparant danger .",10.555198,5.0021043,-1
133,1,2,FAC.,"I draw you ? A horse draw you , and a halter , You , and your Flies together .",10.3855715,3.4794753,-1
134,1,2,DAP.,"Nay , good Captaine .",8.842156,6.5874333,-1
135,1,2,FAC.,That know no difference of men .,9.402624,7.334125,-1
136,1,2,SVB.,Good words Sr.,5.983612,6.5810027,-1
137,1,2,FAC.,"Good deeds , Sr. Doctor Dogges-mouth . Slight I bring you No cheating Clim-o'the-Cloughs , or Claribels . That looke as bigge as fine , and fifty , and flush , And spit out secrets , like hot Custard",10.279373,5.362996,-1
138,1,2,DAP.,Captayne .,9.234425,6.811026,-1
139,1,2,FAC.,"Nor any melancholike vnder-Scribe , Shall tell the Vicar : but , a speciall Gentle , That is the Heire to forty markes , a yeare , Consorts with the small Poets of the time , Is the sole hope of his old Grand-Mother , That knowes the Law , and writes you sixe fayre Hands , Is a fine Clearke , and has his Ciphring perfect , Will take his oth , o' the Greeke Testament , If need be , in his pocket : and can court His Mistresse , out of Ouid.",11.071602,4.7035246,-1
140,1,2,DAP.,"Nay , deare Captayne .",9.189578,6.7464657,-1
141,1,2,FAC.,"Did you not tell me , so ?",6.7116537,5.1125455,-1
142,1,2,DAP.,"Yes , but I 'ld ha' you Vse Mr. Doctor , with some more respect .",9.359119,6.0922875,-1
143,1,2,FAC.,"Hang him proud Stagg , with his broad veluet head . But , for your sake , I 'ld choake ere I would change An article of breath , with such a Puck-fist . Come let 's be gone .",8.963758,4.3506036,-1
144,1,2,SVB.,"Pray you , le' me speake with you .",6.9799566,7.0455875,-1
145,1,2,DAP.,"His worship calls you , Captayne .",9.263978,6.801721,-1
146,1,2,FAC.,"I am sorry , I e're imbarqu'd my selfe , in such a busines .",7.7487497,5.3215747,-1
147,1,2,DAP.,Nay good Sr. He did call you .,8.802525,6.893787,-1
148,1,2,FAC.,"Will he take , then ?",7.5532875,5.263625,-1
149,1,2,SVB.,"First , heare me â€”",8.658865,8.288036,-1
150,1,2,FAC.,"Not a syllable , ' lesse you take .",10.568381,6.2318573,-1
151,1,2,SVB.,Pray ye' Sr.,6.7694807,6.9741063,-1
152,1,2,FAC.,"Vpon no termes , but an Assumpsit .",9.23712,3.8966146,-1
153,1,2,SVB.,Your Humor must be law .,10.775132,6.0252533,-1
154,1,2,FAC.,"Why now Sr. talke . Now , I dare heare you with mine honour . Speake . So may this Gentleman too",9.235264,6.0369506,-1
155,1,2,SVB.,Why Sr.,5.994102,6.5599256,-1
156,1,2,FAC.,"No whispring ,",7.4702625,3.786414,-1
157,1,2,SVB.,"'Fore Heau'n , you doe not apprehend the losse You doe your selfe , in this .",8.697356,4.7589855,-1
158,1,2,FAC.,Wherein ? For what ?,6.3710046,6.559645,-1
159,1,2,SVB.,"Mary , to be so'importunate for one , That , when he has it , will vndoe you all : He 'll winne vp all the money i' the Towne .",10.24564,6.65852,-1
160,1,2,FAC.,How !,4.255959,4.1247964,-1
161,1,2,SVB.,"Yes . And blow vp Gamster , after Gamster , As they doe crackers , in a Puppit-play . If I doe giue him a Familiar , Giue you him all you play for ; neuer set him : For he will haue it .",11.182762,7.84241,-1
162,1,2,FAC.,"Y' are mistaken , Doctor . Why , he do's aske one but for Cuppes , and Horses , A rifling Fly : none o' your great Familiars .",9.501818,5.7741046,-1
163,1,2,DAP.,"Yes , Captayne , I would haue it , for all games .",9.245876,6.81962,-1
164,1,2,SVB.,I told you so .,5.7687263,5.0089445,-1
165,1,2,FAC.,"'Slight , that 's a new businesse ! I vnderstood you , a tame Bird , to flye Twise in a Terme , or so ; on Friday nights , When you had left the Office : for a Nagg , Of forty , or fifty shillings .",10.45664,3.3214273,-1
166,1,2,DAP.,"I 't is true , Sir , But I doe thinke , now , I shall leaue the Lawe , And therefore .",10.814174,5.9279394,-1
167,1,2,FAC.,"Why this changes quite the case ! Do' you thinke , that I dare moue him ?",9.342647,5.6047354,-1
168,1,2,DAP.,"If you please , Sir , All 's one to him , I see .",6.762835,5.543492,-1
169,1,2,FAC.,"What ? for that money ? I cannot with my Conscience . Nor should you Make the request , me thinkes .",10.580875,6.2486806,-1
170,1,2,DAP.,"No , Sir , I meane To adde consideration .",7.7759132,5.4655414,-1
171,1,2,FAC.,"Why , then , Sir , I 'll try . Say , that it were for all games , Doctor ?",5.5448337,6.085075,-1
172,1,2,SVB.,"I say , then , not a mouth shall eate for him At any Ordinary , but o' the Score , That is a gaming mouth , conceiue me .",9.248592,4.415057,-1
173,1,2,FAC.,Indeed !,4.618155,5.683803,-1
174,1,2,SVB.,"He 'll draw you all the treasure of the realme , If it be set him .",10.460456,4.1445913,-1
175,1,2,FAC.,Speake you this from art ?,10.765989,5.001059,-1
176,1,2,SVB.,"I , Sir , and reason too ; the ground of art . H 'is o' the onely best complexion The Queene of Fairie loues .",10.581006,5.011775,-1
177,1,2,FAC.,What ! is he,6.935158,4.7757344,-1
178,1,2,SVB.,"Peace . He 'll ouer-heare you . Sir , should she but see him â€”",9.771628,7.5826144,-1
179,1,2,FAC.,What ?,5.718991,4.4132733,-1
180,1,2,SVB.,Do not you tell him .,6.7337203,5.1355605,-1
181,1,2,FAC.,Will he win at cardes too ?,9.103796,4.673429,-1
182,1,2,SVB.,"The Spirits of dead Holland , liuing Isaac , You 'ld sweare , were in him : such a vigorous luck As cannot be resisted . Slight he 'll put Sixe o' your Gallants , to a cloake , indeed .",10.937664,4.6992955,-1
183,1,2,FAC.,"A strange successe , that some man shall be borne too !",10.535343,5.3877716,-1
184,1,2,SVB.,"Hee heares you , man .",8.033482,6.1339574,-1
185,1,2,DAP.,"Sir , I le not be ingratefull .",6.5433655,6.244269,-1
186,1,2,FAC.,"Faith , I haue a confidence in his good nature : You heare , he sayes , he will not be ingratefull .",12.131344,6.2952123,-1
187,1,2,SVB.,"Why , as you please , my venture followes yours .",7.429242,5.0742655,-1
188,1,2,FAC.,"Troth , doe it Doctor . Thinke him trusty , and make him . Hee may make vs both happy in an hower : Winne some fiue thousand pound , and send vs two on 't .",9.617424,5.7948513,-1
189,1,2,DAP.,"Beleeue it , and I will , Sir .",7.134797,5.8894653,-1
190,1,2,FAC.,"And you shall , Sir . You haue heard all ?",8.062359,6.1580954,-1
191,1,2,DAP.,"No , what was 't ? Nothing , I Sir .",5.4366903,5.685423,-1
192,1,2,FAC.,Nothing ?,5.646527,4.4842224,-1
193,1,2,DAP.,"A little , Sir .",5.4446316,5.6323895,-1
194,1,2,FAC.,"Well , a rare Starre Raign'd , at your birth .",10.236368,5.8953714,-1
195,1,2,DAP.,At mine Sir ? No.,5.760871,6.0012336,-1
196,1,2,FAC.,The Doctor Sweares that you are â€”,9.294781,6.0835633,-1
197,1,2,SVB.,"Nay Captayn , Yo 'll tell all , now .",9.136756,6.7756605,-1
198,1,2,FAC.,Allied to the Queene of Faerie .,11.174514,6.5483317,-1
199,1,2,DAP.,"Who ? that I am ? Beleeue it , no such matter .",6.884801,5.707919,-1
200,1,2,FAC.,"Yes , and that Yo' were borne with a Caule o' your head .",9.666397,4.048077,-1
201,1,2,DAP.,Who sayes so ?,7.248936,5.19171,-1
202,1,2,FAC.,"Come . You know it well inough , though you dissemble it .",7.440636,3.8331475,-1
203,1,2,DAP.,"I fac , I doe not . You are mistaken .",6.072243,6.391243,-1
204,1,2,FAC.,"How ! Sweare by your fac ? and in a thing , so knowne Vnto the Doctor ? How shall we , Sir , trust you I' the other matter ? Can we euer thinke , When you haue wonne fiue , or sixe thousand pound , Yo 'll send vs shares in 't , by this rate ?",9.587003,5.924396,-1
205,1,2,DAP.,"By Gad , Sir , I 'll winne ten thousand pound , and send you halfe . I fac is no othe .",9.576009,5.935332,-1
206,1,2,SVB.,"No , no , he did but iest .",8.8050995,5.0380073,-1
207,1,2,FAC.,"Goe too . Goe , thanke the Doctor . He is your friend . To take it so .",8.935336,5.8955593,-1
208,1,2,DAP.,I thanke his Worship .,10.084412,6.0792413,-1
209,1,2,FAC.,So ? Another Angell .,6.2257223,4.700739,-1
210,1,2,DAP.,Must I ?,5.8681245,5.563286,-1
211,1,2,FAC.,"Must you ? Slight , What else is Thankes ? Will you be triuiall ? Doctor . When must he come , for his Familiar ?",9.597277,5.795631,-1
212,1,2,DAP.,Shall I not ha' it with me ?,7.4737906,6.088356,-1
213,1,2,SVB.,"O , good Sir , There must a world of ceremonies passe , You must be bath'd , and fumigated , first ; Besides , the Queene of Faerie do's not rise , Till it be noone .",11.222583,6.5778584,-1
214,1,2,FAC.,"Not , if she daunc'd , to night .",10.156126,7.3989606,-1
215,1,2,SVB.,And she must blesse it .,10.503368,7.3915296,-1
216,1,2,FAC.,"Did you neuer see Her royall Grace , yet ?",10.858853,7.59939,-1
217,1,2,DAP.,Whom ?,6.0162754,5.551019,-1
218,1,2,FAC.,Your Aunt of Faerie ?,11.178811,6.7421217,-1
219,1,2,SVB.,"Not , since she kist him , in the cradle , Captayne , I can resolue you that .",10.133347,7.4047704,-1
220,1,2,FAC.,"Well , see her Grace , What ere it cost you , for a thing that I know . It will be somewhat hard to compasse : But , How euer , see her . You are made , beleeue it , If you can see her . Her Grace is a lone woman , And very rich , and if she take a phant'sye , She will doe strange things . See her , at any hand . 'Slid , she may hap to leaue you all she has : It is the Doctors feare .",10.825971,7.1560345,-1
221,1,2,DAP.,"How will 't be done , then ?",6.9294014,6.3904676,-1
222,1,2,FAC.,"Let me alone take you no thought . Doe you But say to me . Captayne , I 'll see her Grace .",10.623914,7.370323,-1
223,1,2,DAP.,"Captain , I 'll see her Grace .",10.819427,7.307131,-1
224,1,2,FAC.,Inough .,7.346443,4.1964307,-1
225,1,2,SVB.,"Who 's there ? Anone . ( Conduct him forth , by the back way ) Sir , against one a Clock , prepare your selfe . Till when you must be fasting ; onely , take Three drops of vinegar , in , at your nose ; Two at your mouth ; and one , at eyther eare ; Then , bath your fingers endes ; and , wash your eyes ; To sharpen your fiue Senses ; and , cry Hum , Thrise ; and then Buz , as often ; and then , Come .",10.889613,4.013675,-1
226,1,2,FAC.,Can you remember this ?,7.3038883,5.094555,-1
227,1,2,DAP.,I warrant you .,6.9066076,3.5324576,-1
228,1,2,FAC.,"Well , then , away . 'T is , but your bestowing Some twenty nobles , 'mong her Graces Seruants ; And , put on a cleane shirt : You doe not know What grace her Grace may doe you in cleane linnen .",10.817819,6.994179,-1
229,1,3,DRV.,"Yes , Sir .",4.5075665,5.7118444,-1
230,1,3,SVB.,A seller of Tobacco ?,9.747423,3.222281,-1
231,1,3,DRV.,"Yes , Sir .",4.5247855,5.717932,-1
232,1,3,SVB.,â€› Vmh. Free of the Grocers ?,9.283113,3.9254735,-1
233,1,3,DRV.,"I , and 't please you .",6.090491,4.9921985,-1
234,1,3,SVB.,"Well . Your busines , Abel ?",9.396605,2.6657336,-1
235,1,3,DRV.,"This , and 't please your worship , I 'am a yong beginner , and am building Of a new shop , and 't like your worship ; iust , At corner of a street : ( Here 's the plot on 't . ) And I would know , by art , Sir , of your Worship , Which way I should make my dore , by Necromantie . And , where my Shelues . And , which should be for Boxes , And , which for Potts , I would be glad to thriue , Sir . And , I was wish'd to your Worship , by a Gentleman , One Captaine Face , that say's you know mens Planets , And their good Angels , and their bad .",10.988818,5.2163725,-1
236,1,3,SVB.,I doe If I doe see'hem .,8.347185,3.7047522,-1
237,1,3,FAC.,"What ! my honest Abel ? Thou art well met , here .",9.432058,2.7581172,-1
